date,mkt,name,offer,price,shares,symbol
6/8/2018,NYSE,GS ACQUISITION HOLDINGS CORP,"$600,000,000",$10,"60,000,000",GSAHU
6/1/2018,NYSE MKT,AMBOW EDUCATION HOLDING LTD.,"$7,650,000",$4.25,"1,800,000",AMBO
5/31/2018,NASDAQ Capital,"HANCOCK JAFFE LABORATORIES, INC.","$7,500,000",$5,"1,500,000",HJLI
5/30/2018,NASDAQ Global Select,TRIDENT ACQUISITIONS CORP.,"$175,000,000",$10,"17,500,000",TDACU
5/25/2018,NASDAQ Global,ITERUM THERAPEUTICS PLC,"$79,950,000",$13,"6,150,000",ITRM
5/24/2018,NASDAQ Global Select,"KINIKSA PHARMACEUTICALS, LTD.","$152,599,986",$18,"8,477,777",KNSA
5/24/2018,NASDAQ Global Select,SCHOLAR ROCK HOLDING CORP,"$75,040,000",$14,"5,360,000",SRRK
5/24/2018,NASDAQ Global Select,"GREENSKY, INC.","$874,000,000",$23,"38,000,000",GSKY
5/24/2018,NASDAQ Capital,CLPS INC,"$10,500,000",$5.25,"2,000,000",CLPS
5/23/2018,NASDAQ Global Select,"EVO PAYMENTS, INC.","$224,000,000",$16,"14,000,000",EVOP
5/17/2018,NASDAQ Global Select,"PLURALSIGHT, INC.","$310,500,000",$15,"20,700,000",PS
5/16/2018,NASDAQ Capital,VECTOIQ ACQUISITION CORP.,"$200,000,000",$10,"20,000,000",VTIQU
5/15/2018,NASDAQ Capital,TRINITY MERGER CORP.,"$300,000,000",$10,"30,000,000",TMCXU
5/11/2018,NYSE,HUYA INC.,"$180,000,000",$12,"15,000,000",HUYA
5/10/2018,NYSE,"AXA EQUITABLE HOLDINGS, INC.","$2,745,000,000",$20,"137,250,000",EQH
5/9/2018,NASDAQ Global Select,"EVELO BIOSCIENCES, INC.","$85,000,000",$16,"5,312,500",EVLO
5/9/2018,NASDAQ Global Select,"ORIGIN BANCORP, INC.","$123,629,984",$34,"3,636,176",OBNK
5/4/2018,NASDAQ Global Select,"CONSTRUCTION PARTNERS, INC.","$135,000,000",$12,"11,250,000",ROAD
5/4/2018,NASDAQ Global Select,"SPIRIT OF TEXAS BANCSHARES, INC.","$42,000,000",$21,"2,000,000",STXB
5/4/2018,NASDAQ Global,ASLAN PHARMACEUTICALS LTD,"$42,180,000",$7.03,"6,000,000",ASLN
5/4/2018,NASDAQ Global Select,BAYCOM CORP,"$62,726,796",$22,"2,851,218",BCML
5/4/2018,NASDAQ Global Select,"CARBON BLACK, INC.","$152,000,000",$19,"8,000,000",CBLK
5/3/2018,NYSE,"INSPIRE MEDICAL SYSTEMS, INC.","$108,000,000",$16,"6,750,000",INSP
5/3/2018,NASDAQ Global Select,"UNITY BIOTECHNOLOGY, INC.","$85,000,000",$17,"5,000,000",UBX
5/3/2018,NASDAQ Capital,"XSPAND PRODUCTS LAB, INC.","$6,535,600",$5,"1,307,120",XSPL
5/2/2018,NYSE,PERMROCK ROYALTY TRUST,"$106,250,000",$17,"6,250,000",PRT
4/27/2018,NASDAQ Global Select,DOCUSIGN INC,"$629,300,000",$29,"21,700,000",DOCU
4/27/2018,NASDAQ Global Select,"GOOSEHEAD INSURANCE, INC.","$85,300,000",$10,"8,530,000",GSHD
4/27/2018,NYSE,SMARTSHEET INC,"$174,508,800",$15,"11,633,920",SMAR
4/26/2018,NASDAQ Global Select,"NLIGHT, INC.","$96,000,000",$16,"6,000,000",LASR
4/26/2018,NYSE,CERIDIAN HCM HOLDING INC.,"$462,000,000",$22,"21,000,000",CDAY
4/20/2018,NASDAQ Global Select,LEVEL ONE BANCORP INC,"$33,600,000",$28,"1,200,000",LEVL
4/20/2018,NYSE,"PIVOTAL SOFTWARE, INC.","$555,000,000",$15,"37,000,000",PVTL
4/19/2018,NASDAQ Global,"SURFACE ONCOLOGY, INC.","$108,000,000",$15,"7,200,000",SURF
4/19/2018,NASDAQ Global,MORPHOSYS AG,"$207,832,000",$25.04,"8,300,000",MOR
4/19/2018,NYSE,GRAFTECH INTERNATIONAL LTD,"$525,000,000",$15,"35,000,000",EAF
4/18/2018,NASDAQ Capital,"AGM GROUP HOLDINGS, INC.","$6,530,275",$5,"1,306,055",AGMH
